Название объявления;Цена;Район;Станция метро
Помещение с арендаторами, 220кв.м;24 898 руб. за м2;р-н Московский;Буревестник
 Офис 95,1 м² за 8 млн. руб.;84 122 руб. за м2;р-н Нижегородский;nan
 Офис 475,8 м² за 21 млн. руб.;44 136 руб. за м2;р-н Канавинский;Московская
 Офис 481,3 м² за 38,77 млн. руб.;80 564 руб. за м2;р-н Нижегородский;Горьковская
 Своб. назнач. 1 885,3 м² за 48,13 млн. руб. · Под офис;25 528 руб. за м2;р-н Автозаводский;Кировская
 Офис 23 м² за 1,6 млн. руб.;69 565 руб. за м2;р-н Нижегородский;nan
Срочная продажа!;66 199 руб. за м2;р-н Нижегородский;Горьковская
 Офис 23 м² за 2,1 млн. руб.;91 304 руб. за м2;р-н Автозаводский;Парк культуры
 Офис 83,6 м² за 5,01 млн. руб.;60 000 руб. за м2;р-н Советский;nan
 Офис 188 м² за 6,39 млн. руб.;34 000 руб. за м2;р-н Сормовский;nan
 Офис 186 м² за 10,4 млн. руб.;55 914 руб. за м2;р-н Московский;nan
Помещение под офис,гостиницу,кафе;51 220 руб. за м2;р-н Приокский;nan
 Офис 200 м² за 11,95 млн. руб.;59 750 руб. за м2;р-н Нижегородский;nan
 Офис 330 м² за 13,2 млн. руб.;40 000 руб. за м2;р-н Сормовский;nan
 Своб. назнач. 96 м² за 6,62 млн. руб. · Под офис;68 958 руб. за м2;р-н Нижегородский;Горьковская
 Своб. назнач. 38 м² за 3,4 млн. руб. · Под офис;89 474 руб. за м2;р-н Автозаводский;Автозаводская
 Офис 39,6 м² за 3,5 млн. руб.;88 384 руб. за м2;р-н Нижегородский;Горьковская
 Офис 91 м² за 5,2 млн. руб.;57 143 руб. за м2;р-н Нижегородский;nan
 Офис 156 м² за 8,5 млн. руб.;54 487 руб. за м2;р-н Нижегородский;nan
 Своб. назнач. 130 м² за 8,8 млн. руб. · Под офис;67 692 руб. за м2;р-н Нижегородский;Горьковская
 Офис 225,2 м² за 9,43 млн. руб.;41 900 руб. за м2;р-н Автозаводский;Автозаводская
 Офис 341,1 м² за 17,8 млн. руб.;52 184 руб. за м2;р-н Советский;nan
 Офис 9 м² за 650 тыс. руб.;72 222 руб. за м2;р-н Ленинский;nan
 Офис 15,7 м² за 1 млн. руб.;63 694 руб. за м2;р-н Канавинский;Московская
 Офис 14,2 м² за 1,1 млн. руб.;77 465 руб. за м2;р-н Советский;nan
 Офис 23,1 м² за 1,2 млн. руб.;51 948 руб. за м2;р-н Канавинский;Московская
 Офис 34 м² за 1,62 млн. руб.;47 647 руб. за м2;р-н Ленинский;nan
 Офис 37 м² за 1,82 млн. руб.;49 189 руб. за м2;р-н Советский;nan
 Офис 39 м² за 1,8 млн. руб.;46 154 руб. за м2;р-н Канавинский;Московская
 Офис 24 м² за 2,1 млн. руб.;87 500 руб. за м2;р-н Нижегородский;nan
 Офис 42 м² за 2,3 млн. руб.;54 762 руб. за м2;р-н Нижегородский;nan
 Офис 74 м² за 2,5 млн. руб.;33 784 руб. за м2;р-н Советский;nan
 Офис 32 м² за 2,64 млн. руб.;82 500 руб. за м2;р-н Советский;nan
 Офис 38 м² за 2,69 млн. руб.;70 866 руб. за м2;р-н Сормовский;nan
 Офис 42 м² за 2,69 млн. руб.;64 262 руб. за м2;р-н Советский;nan
 Офис 50 м² за 2,9 млн. руб.;58 000 руб. за м2;р-н Советский;nan
 Офис 30 м² за 2,99 млн. руб.;99 667 руб. за м2;р-н Нижегородский;nan
 Офис 33 м² за 3,2 млн. руб.;96 970 руб. за м2;р-н Нижегородский;nan
 Офис 33 м² за 3,2 млн. руб.;96 970 руб. за м2;р-н Нижегородский;nan
 Офис 32 м² за 3,3 млн. руб.;103 125 руб. за м2;р-н Нижегородский;nan
 Офис 47 м² за 3,3 млн. руб.;70 213 руб. за м2;р-н Автозаводский;nan
 Офис 38 м² за 3,42 млн. руб.;90 237 руб. за м2;р-н Нижегородский;nan
 Офис 100 м² за 3,5 млн. руб.;35 000 руб. за м2;р-н Приокский;nan
 Офис 42 м² за 3,5 млн. руб.;83 333 руб. за м2;р-н Ленинский;nan
 Офис 137 м² за 3,5 млн. руб.;25 547 руб. за м2;р-н Нижегородский;nan
 Офис 45,6 м² за 3,59 млн. руб.;78 728 руб. за м2;р-н Нижегородский;nan
 Офис 100 м² за 3,6 млн. руб.;36 000 руб. за м2;р-н Советский;nan
 Офис 130 м² за 3,8 млн. руб.;29 231 руб. за м2;р-н Московский;nan
 Офис 85 м² за 3,8 млн. руб.;44 706 руб. за м2;р-н Нижегородский;nan
 Офис 160 м² за 3,89 млн. руб.;24 313 руб. за м2;р-н Нижегородский;nan
 Офис 49 м² за 3,97 млн. руб.;81 110 руб. за м2;р-н Сормовский;nan
 Офис 78 м² за 3,95 млн. руб.;50 641 руб. за м2;р-н Нижегородский;nan
 Офис 103 м² за 4 млн. руб.;38 835 руб. за м2;р-н Нижегородский;nan
 Своб. назнач. 122 м² за 4 млн. руб. · Под офис;32 787 руб. за м2;р-н Нижегородский;nan
 Офис 88 м² за 4,2 млн. руб.;47 727 руб. за м2;р-н Канавинский;nan
 Офис 53 м² за 4,24 млн. руб.;80 000 руб. за м2;р-н Советский;nan
 Офис 140 м² за 4,2 млн. руб.;30 000 руб. за м2;р-н Нижегородский;nan
 Офис 123 м² за 4,4 млн. руб.;35 772 руб. за м2;р-н Нижегородский;nan
 Офис 44 м² за 4,4 млн. руб.;100 000 руб. за м2;р-н Автозаводский;nan
 Офис 56 м² за 4,48 млн. руб.;80 000 руб. за м2;р-н Ленинский;nan
 Офис 104 м² за 4,5 млн. руб.;43 269 руб. за м2;р-н Нижегородский;nan
 Офис 136 м² за 4,6 млн. руб.;33 824 руб. за м2;р-н Нижегородский;nan
 Офис 60 м² за 4,8 млн. руб.;80 000 руб. за м2;р-н Советский;nan
 Офис 60 м² за 4,8 млн. руб.;80 053 руб. за м2;р-н Сормовский;nan
 Офис 85 м² за 4,9 млн. руб.;57 647 руб. за м2;р-н Сормовский;nan
 Офис 76 м² за 4,96 млн. руб.;65 342 руб. за м2;р-н Нижегородский;nan
 Офис 62 м² за 4,96 млн. руб.;80 000 руб. за м2;р-н Канавинский;nan
 Офис 86 м² за 4,95 млн. руб.;57 558 руб. за м2;р-н Нижегородский;nan
 Своб. назнач. 100 м² за 5 млн. руб. · Под офис;50 000 руб. за м2;р-н Советский;Горьковская
 Офис 98 м² за 5,2 млн. руб.;53 061 руб. за м2;р-н Нижегородский;nan
 Офис 80 м² за 5,2 млн. руб.;65 000 руб. за м2;р-н Нижегородский;nan
 Офис 288 м² за 5,25 млн. руб.;18 229 руб. за м2;р-н Приокский;nan
 Офис 59 м² за 5,31 млн. руб.;90 000 руб. за м2;р-н Канавинский;Московская
 Офис 93 м² за 5,35 млн. руб.;57 527 руб. за м2;р-н Канавинский;nan
 Офис 107 м² за 5,5 млн. руб.;51 402 руб. за м2;р-н Нижегородский;nan
 Своб. назнач. 60 м² за 5,5 млн. руб. · Под офис;91 667 руб. за м2;р-н Нижегородский;nan
 Офис 100 м² за 5,7 млн. руб.;57 000 руб. за м2;р-н Канавинский;nan
 Офис 65 м² за 6,2 млн. руб.;95 385 руб. за м2;р-н Приокский;nan
 Офис 117 м² за 6,5 млн. руб.;55 556 руб. за м2;р-н Канавинский;nan
 Офис 130 м² за 6,5 млн. руб.;50 000 руб. за м2;р-н Нижегородский;nan
 Офис 180 м² за 6,5 млн. руб.;36 111 руб. за м2;р-н Нижегородский;nan
 Офис 222 м² за 6,5 млн. руб.;29 279 руб. за м2;р-н Нижегородский;nan
 Офис 83 м² за 6,64 млн. руб.;80 000 руб. за м2;р-н Нижегородский;nan
 Офис 85 м² за 6,8 млн. руб.;80 000 руб. за м2;р-н Советский;nan
 Офис 76 м² за 6,89 млн. руб.;90 711 руб. за м2;р-н Нижегородский;nan
 Офис 89 м² за 6,8 млн. руб.;76 404 руб. за м2;р-н Нижегородский;nan
 Офис 133 м² за 7 млн. руб.;52 632 руб. за м2;р-н Нижегородский;nan
 Офис 109 м² за 7,1 млн. руб.;65 179 руб. за м2;р-н Канавинский;nan
 Офис 109 м² за 7,1 млн. руб.;65 179 руб. за м2;р-н Канавинский;nan
 Офис 110 м² за 7,15 млн. руб.;65 059 руб. за м2;р-н Канавинский;nan
 Офис 103 м² за 7,5 млн. руб.;72 816 руб. за м2;р-н Канавинский;nan
 Офис 113 м² за 7,59 млн. руб.;67 237 руб. за м2;р-н Ленинский;nan
 Офис 93 м² за 7,6 млн. руб.;81 720 руб. за м2;р-н Нижегородский;nan
 Офис 76 м² за 7,68 млн. руб.;101 053 руб. за м2;р-н Нижегородский;nan
 Офис 122 м² за 7,91 млн. руб.;64 893 руб. за м2;р-н Канавинский;nan
 Офис 47 м² за 8 млн. руб.;170 213 руб. за м2;р-н Советский;nan
 Офис 80 м² за 8 млн. руб.;100 000 руб. за м2;р-н Советский;nan
 Офис 124 м² за 8,1 млн. руб.;65 367 руб. за м2;р-н Ленинский;nan
 Офис 126 м² за 8,17 млн. руб.;64 845 руб. за м2;р-н Канавинский;nan
 Офис 138 м² за 8,5 млн. руб.;61 594 руб. за м2;р-н Нижегородский;nan
 Офис 137 м² за 8,5 млн. руб.;62 044 руб. за м2;р-н Нижегородский;nan
 Офис 100 м² за 8,5 млн. руб.;85 000 руб. за м2;р-н Советский;nan
 Офис 166 м² за 9,15 млн. руб.;55 166 руб. за м2;р-н Канавинский;nan
 Офис 99 м² за 9,4 млн. руб.;94 949 руб. за м2;р-н Автозаводский;nan
Офис от 99 м² до 99 м² от 98 989 ₽;от 1 000 ₽ за м² ;р-н Автозаводский;nan
 Офис 260 м² за 9,9 млн. руб.;38 077 руб. за м2;р-н Канавинский;Ленинская
 Офис 300 м² за 10 млн. руб.;33 333 руб. за м2;р-н Канавинский;nan
 Офис 231 м² за 10,39 млн. руб.;45 000 руб. за м2;р-н Автозаводский;nan
 Офис 140 м² за 11 млн. руб.;78 571 руб. за м2;р-н Нижегородский;nan
 Офис 275 м² за 11 млн. руб.;40 000 руб. за м2;р-н Нижегородский;nan
 Офис 232 м² за 11,36 млн. руб.;48 966 руб. за м2;р-н Канавинский;Ленинская
 Офис 129 м² за 11,7 млн. руб.;90 698 руб. за м2;р-н Советский;nan
